X,Y,country,year,continent,tot_suicides,suicide_100kpop,population,hdi,gdp_per_year,gdp_per_capita,gni,life_expectancy,sex,age,generation
9.354568,8.1443615,Guyana,1990,Americas,144,0,743000,0.541,1100000000,607,948000000,64.4,female,75+ years,G.I. Generation
9.354568,8.1443615,Guyana,1990,Americas,144,2.24,743000,0.541,1100000000,607,948000000,64.4,male,5-14 years,Generation X
9.354568,8.1443615,Guyana,1990,Americas,144,2.24,743000,0.541,1100000000,607,948000000,64.4,female,5-14 years,Generation X
9.354568,8.1443615,Guyana,1990,Americas,144,6.26,743000,0.541,1100000000,607,948000000,64.4,female,25-34 years,Boomers
9.354568,8.1443615,Guyana,1990,Americas,144,6.34,743000,0.541,1100000000,607,948000000,64.4,female,35-54 years,Silent
9.354568,8.1443615,Guyana,1990,Americas,144,11.77,743000,0.541,1100000000,607,948000000,64.4,female,55-74 years,G.I. Generation
9.354568,8.1443615,Guyana,1990,Americas,144,14.18,743000,0.541,1100000000,607,948000000,64.4,female,15-24 years,Generation X
9.354568,8.1443615,Guyana,1990,Americas,144,20.76,743000,0.541,1100000000,607,948000000,64.4,male,35-54 years,Silent
9.354568,8.1443615,Guyana,1990,Americas,144,22.51,743000,0.541,1100000000,607,948000000,64.4,male,15-24 years,Generation X
9.354568,8.1443615,Guyana,1990,Americas,144,24.45,743000,0.541,1100000000,607,948000000,64.4,male,75+ years,G.I. Generation
9.354568,8.1443615,Guyana,1990,Americas,144,28.75,743000,0.541,1100000000,607,948000000,64.4,male,55-74 years,G.I. Generation
9.354568,8.1443615,Guyana,1990,Americas,144,37.56,743000,0.541,1100000000,607,948000000,64.4,male,25-34 years,Boomers
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,0.8,4370000,0.615,4810000000,715,9860000000,66,female,5-14 years,Generation X
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,3.13,4370000,0.615,4810000000,715,9860000000,66,male,5-14 years,Generation X
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,6.43,4370000,0.615,4810000000,715,9860000000,66,female,25-34 years,Boomers
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,7.95,4370000,0.615,4810000000,715,9860000000,66,female,15-24 years,Generation X
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,9.77,4370000,0.615,4810000000,715,9860000000,66,female,35-54 years,Silent
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,13.49,4370000,0.615,4810000000,715,9860000000,66,male,15-24 years,Generation X
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,15.69,4370000,0.615,4810000000,715,9860000000,66,female,55-74 years,G.I. Generation
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,25.08,4370000,0.615,4810000000,715,9860000000,66,female,75+ years,G.I. Generation
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,28.27,4370000,0.615,4810000000,715,9860000000,66,male,25-34 years,Boomers
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,38.86,4370000,0.615,4810000000,715,9860000000,66,male,55-74 years,G.I. Generation
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,42.04,4370000,0.615,4810000000,715,9860000000,66,male,35-54 years,Silent
2.3829064,0.72968036,Kyrgyzstan,1990,Asia,602,55.56,4370000,0.615,4810000000,715,9860000000,66,male,75+ years,G.I. Generation
3.337648,0.45904586,Armenia,1990,Asia,134,0,3540000,0.634,6360000000,756,8240000000,70.2,female,5-14 years,Generation X
3.337648,0.45904586,Armenia,1990,Asia,134,0,3540000,0.634,6360000000,756,8240000000,70.2,male,5-14 years,Generation X
3.337648,0.45904586,Armenia,1990,Asia,134,1.16,3540000,0.634,6360000000,756,8240000000,70.2,female,15-24 years,Generation X
3.337648,0.45904586,Armenia,1990,Asia,134,1.25,3540000,0.634,6360000000,756,8240000000,70.2,female,25-34 years,Boomers
3.337648,0.45904586,Armenia,1990,Asia,134,2.04,3540000,0.634,6360000000,756,8240000000,70.2,female,75+ years,G.I. Generation
3.337648,0.45904586,Armenia,1990,Asia,134,2.68,3540000,0.634,6360000000,756,8240000000,70.2,female,55-74 years,G.I. Generation
3.337648,0.45904586,Armenia,1990,Asia,134,3.67,3540000,0.634,6360000000,756,8240000000,70.2,male,15-24 years,Generation X
3.337648,0.45904586,Armenia,1990,Asia,134,4.19,3540000,0.634,6360000000,756,8240000000,70.2,female,35-54 years,Silent
3.337648,0.45904586,Armenia,1990,Asia,134,5.21,3540000,0.634,6360000000,756,8240000000,70.2,male,25-34 years,Boomers
3.337648,0.45904586,Armenia,1990,Asia,134,5.98,3540000,0.634,6360000000,756,8240000000,70.2,male,55-74 years,G.I. Generation
3.337648,0.45904586,Armenia,1990,Asia,134,7.43,3540000,0.634,6360000000,756,8240000000,70.2,male,75+ years,G.I. Generation
3.337648,0.45904586,Armenia,1990,Asia,134,7.51,3540000,0.634,6360000000,756,8240000000,70.2,male,35-54 years,Silent
0.45686594,2.0158195,Uzbekistan,1990,Asia,1610,0.79,20500000,0.697,20500000000,778,90200000000,68.3,female,5-14 years,Generation X
0.45686594,2.0158195,Uzbekistan,1990,Asia,1610,1.63,20500000,0.697,20500000000,778,90200000000,68.3,male,5-14 years,Generation X
