X,Y,country,year,continent,tot_suicides,suicide_100kpop,population,hdi,gdp_per_year,gdp_per_capita,gni,life_expectancy,sex,age,generation
-0.070823636,-0.700648341,Albania,1992,Europe,131,3.49,3240000,0.603,4180000000,251,5930000000,73.9,male,35-54 years,Boomers
-0.070823636,-0.700648341,Albania,1992,Europe,131,3.41,3240000,0.603,4180000000,251,5930000000,73.9,male,15-24 years,Generation X
-0.070823636,-0.700648341,Albania,1992,Europe,131,3.13,3240000,0.603,4180000000,251,5930000000,73.9,male,55-74 years,Silent
-0.070823636,-0.700648341,Albania,1992,Europe,131,2.85,3240000,0.603,4180000000,251,5930000000,73.9,male,25-34 years,Boomers
-0.070823636,-0.700648341,Albania,1992,Europe,131,2.39,3240000,0.603,4180000000,251,5930000000,73.9,female,15-24 years,Generation X
-0.070823636,-0.700648341,Albania,1992,Europe,131,1.5,3240000,0.603,4180000000,251,5930000000,73.9,female,25-34 years,Boomers
-0.070823636,-0.700648341,Albania,1992,Europe,131,0.62,3240000,0.603,4180000000,251,5930000000,73.9,female,35-54 years,Boomers
-0.070823636,-0.700648341,Albania,1992,Europe,131,0.61,3240000,0.603,4180000000,251,5930000000,73.9,female,55-74 years,Silent
-0.070823636,-0.700648341,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,female,5-14 years,Millenials
-0.070823636,-0.700648341,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,female,75+ years,G.I. Generation
-0.070823636,-0.700648341,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,male,5-14 years,Millenials
-0.070823636,-0.700648341,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,male,75+ years,G.I. Generation
-0.077565308,-0.69943684,Albania,1993,Europe,135,7.4,3190000,0.608,4580000000,437,6860000000,73.9,male,15-24 years,Generation X
-0.077565308,-0.69943684,Albania,1993,Europe,135,4.24,3190000,0.608,4580000000,437,6860000000,73.9,male,55-74 years,Silent
-0.077565308,-0.69943684,Albania,1993,Europe,135,4.13,3190000,0.608,4580000000,437,6860000000,73.9,male,75+ years,G.I. Generation
-0.077565308,-0.69943684,Albania,1993,Europe,135,3.91,3190000,0.608,4580000000,437,6860000000,73.9,male,25-34 years,Boomers
-0.077565308,-0.69943684,Albania,1993,Europe,135,3.51,3190000,0.608,4580000000,437,6860000000,73.9,female,15-24 years,Generation X
-0.077565308,-0.69943684,Albania,1993,Europe,135,2.85,3190000,0.608,4580000000,437,6860000000,73.9,male,35-54 years,Boomers
-0.077565308,-0.69943684,Albania,1993,Europe,135,2.67,3190000,0.608,4580000000,437,6860000000,73.9,female,25-34 years,Boomers
-0.077565308,-0.69943684,Albania,1993,Europe,135,2.11,3190000,0.608,4580000000,437,6860000000,73.9,female,35-54 years,Boomers
-0.077565308,-0.69943684,Albania,1993,Europe,135,1.18,3190000,0.608,4580000000,437,6860000000,73.9,female,55-74 years,Silent
-0.077565308,-0.69943684,Albania,1993,Europe,135,0.29,3190000,0.608,4580000000,437,6860000000,73.9,female,5-14 years,Millenials
-0.077565308,-0.69943684,Albania,1993,Europe,135,0.27,3190000,0.608,4580000000,437,6860000000,73.9,male,5-14 years,Millenials
-0.077565308,-0.69943684,Albania,1993,Europe,135,0,3190000,0.608,4580000000,437,6860000000,73.9,female,75+ years,G.I. Generation
-0.093359373,-0.68942411,Albania,1994,Europe,136,8.13,3140000,0.616,4970000000,697,7690000000,74,male,75+ years,G.I. Generation
-0.093359373,-0.68942411,Albania,1994,Europe,136,6.42,3140000,0.616,4970000000,697,7690000000,74,male,55-74 years,Silent
-0.093359373,-0.68942411,Albania,1994,Europe,136,5.01,3140000,0.616,4970000000,697,7690000000,74,female,75+ years,G.I. Generation
-0.093359373,-0.68942411,Albania,1994,Europe,136,2.59,3140000,0.616,4970000000,697,7690000000,74,male,25-34 years,Boomers
-0.093359373,-0.68942411,Albania,1994,Europe,136,2.48,3140000,0.616,4970000000,697,7690000000,74,male,35-54 years,Boomers
-0.093359373,-0.68942411,Albania,1994,Europe,136,2.48,3140000,0.616,4970000000,697,7690000000,74,male,15-24 years,Generation X
-0.093359373,-0.68942411,Albania,1994,Europe,136,2.12,3140000,0.616,4970000000,697,7690000000,74,female,15-24 years,Generation X
-0.093359373,-0.68942411,Albania,1994,Europe,136,1.53,3140000,0.616,4970000000,697,7690000000,74,female,25-34 years,Boomers
-0.093359373,-0.68942411,Albania,1994,Europe,136,0.58,3140000,0.616,4970000000,697,7690000000,74,female,35-54 years,Boomers
-0.093359373,-0.68942411,Albania,1994,Europe,136,0.57,3140000,0.616,4970000000,697,7690000000,74,female,55-74 years,Silent
-0.093359373,-0.68942411,Albania,1994,Europe,136,0.27,3140000,0.616,4970000000,697,7690000000,74,male,5-14 years,Millenials
-0.093359373,-0.68942411,Albania,1994,Europe,136,0,3140000,0.616,4970000000,697,7690000000,74,female,5-14 years,Millenials
-0.045108293,-0.745675652,Albania,1995,Europe,142,5.58,3110000,0.628,5630000000,835,9030000000,74.1,male,25-34 years,Generation X
-0.045108293,-0.745675652,Albania,1995,Europe,142,5.06,3110000,0.628,5630000000,835,9030000000,74.1,male,55-74 years,Silent
-0.045108293,-0.745675652,Albania,1995,Europe,142,4.9,3110000,0.628,5630000000,835,9030000000,74.1,female,75+ years,G.I. Generation
-0.045108293,-0.745675652,Albania,1995,Europe,142,4.59,3110000,0.628,5630000000,835,9030000000,74.1,female,15-24 years,Generation X
-0.045108293,-0.745675652,Albania,1995,Europe,142,4.56,3110000,0.628,5630000000,835,9030000000,74.1,male,15-24 years,Generation X
-0.045108293,-0.745675652,Albania,1995,Europe,142,3.98,3110000,0.628,5630000000,835,9030000000,74.1,male,75+ years,G.I. Generation
-0.045108293,-0.745675652,Albania,1995,Europe,142,3.72,3110000,0.628,5630000000,835,9030000000,74.1,male,35-54 years,Boomers
-0.045108293,-0.745675652,Albania,1995,Europe,142,2.65,3110000,0.628,5630000000,835,9030000000,74.1,female,25-34 years,Generation X
-0.045108293,-0.745675652,Albania,1995,Europe,142,2.24,3110000,0.628,5630000000,835,9030000000,74.1,female,35-54 years,Boomers
-0.045108293,-0.745675652,Albania,1995,Europe,142,1.59,3110000,0.628,5630000000,835,9030000000,74.1,male,5-14 years,Millenials
-0.045108293,-0.745675652,Albania,1995,Europe,142,1.11,3110000,0.628,5630000000,835,9030000000,74.1,female,55-74 years,Silent
-0.045108293,-0.745675652,Albania,1995,Europe,142,0.57,3110000,0.628,5630000000,835,9030000000,74.1,female,5-14 years,Millenials
-0.040674593,-0.756026893,Albania,1996,Europe,150,7.87,3090000,0.637,6140000000,1127,10100000000,74.3,male,75+ years,G.I. Generation
-0.040674593,-0.756026893,Albania,1996,Europe,150,6.98,3090000,0.637,6140000000,1127,10100000000,74.3,male,15-24 years,Generation X
-0.040674593,-0.756026893,Albania,1996,Europe,150,5.95,3090000,0.637,6140000000,1127,10100000000,74.3,male,25-34 years,Generation X
-0.040674593,-0.756026893,Albania,1996,Europe,150,5.56,3090000,0.637,6140000000,1127,10100000000,74.3,female,15-24 years,Generation X
-0.040674593,-0.756026893,Albania,1996,Europe,150,4.85,3090000,0.637,6140000000,1127,10100000000,74.3,female,75+ years,G.I. Generation
-0.040674593,-0.756026893,Albania,1996,Europe,150,3.73,3090000,0.637,6140000000,1127,10100000000,74.3,female,25-34 years,Generation X
-0.040674593,-0.756026893,Albania,1996,Europe,150,3.16,3090000,0.637,6140000000,1127,10100000000,74.3,male,35-54 years,Boomers
-0.040674593,-0.756026893,Albania,1996,Europe,150,2.49,3090000,0.637,6140000000,1127,10100000000,74.3,female,35-54 years,Boomers
-0.040674593,-0.756026893,Albania,1996,Europe,150,1.67,3090000,0.637,6140000000,1127,10100000000,74.3,male,55-74 years,Silent
