X,Y,country,year,continent,tot_suicides,suicide_100kpop,population,hdi,gdp_per_year,gdp_per_capita,gni,life_expectancy,sex,age,generation
8.138443,8.816491,Albania,1992,Europe,131,3.49,3240000,0.603,4180000000,251,5930000000,73.9,male,35-54 years,Boomers
8.138443,8.816491,Albania,1992,Europe,131,3.41,3240000,0.603,4180000000,251,5930000000,73.9,male,15-24 years,Generation X
8.138443,8.816491,Albania,1992,Europe,131,3.13,3240000,0.603,4180000000,251,5930000000,73.9,male,55-74 years,Silent
8.138443,8.816491,Albania,1992,Europe,131,2.85,3240000,0.603,4180000000,251,5930000000,73.9,male,25-34 years,Boomers
8.138443,8.816491,Albania,1992,Europe,131,2.39,3240000,0.603,4180000000,251,5930000000,73.9,female,15-24 years,Generation X
8.138443,8.816491,Albania,1992,Europe,131,1.5,3240000,0.603,4180000000,251,5930000000,73.9,female,25-34 years,Boomers
8.138443,8.816491,Albania,1992,Europe,131,0.62,3240000,0.603,4180000000,251,5930000000,73.9,female,35-54 years,Boomers
8.138443,8.816491,Albania,1992,Europe,131,0.61,3240000,0.603,4180000000,251,5930000000,73.9,female,55-74 years,Silent
8.138443,8.816491,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,female,5-14 years,Millenials
8.138443,8.816491,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,female,75+ years,G.I. Generation
8.138443,8.816491,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,male,5-14 years,Millenials
8.138443,8.816491,Albania,1992,Europe,131,0,3240000,0.603,4180000000,251,5930000000,73.9,male,75+ years,G.I. Generation
9.233224,6.697642,Albania,1993,Europe,135,7.4,3190000,0.608,4580000000,437,6860000000,73.9,male,15-24 years,Generation X
9.233224,6.697642,Albania,1993,Europe,135,4.24,3190000,0.608,4580000000,437,6860000000,73.9,male,55-74 years,Silent
9.233224,6.697642,Albania,1993,Europe,135,4.13,3190000,0.608,4580000000,437,6860000000,73.9,male,75+ years,G.I. Generation
9.233224,6.697642,Albania,1993,Europe,135,3.91,3190000,0.608,4580000000,437,6860000000,73.9,male,25-34 years,Boomers
9.233224,6.697642,Albania,1993,Europe,135,3.51,3190000,0.608,4580000000,437,6860000000,73.9,female,15-24 years,Generation X
9.233224,6.697642,Albania,1993,Europe,135,2.85,3190000,0.608,4580000000,437,6860000000,73.9,male,35-54 years,Boomers
9.233224,6.697642,Albania,1993,Europe,135,2.67,3190000,0.608,4580000000,437,6860000000,73.9,female,25-34 years,Boomers
9.233224,6.697642,Albania,1993,Europe,135,2.11,3190000,0.608,4580000000,437,6860000000,73.9,female,35-54 years,Boomers
9.233224,6.697642,Albania,1993,Europe,135,1.18,3190000,0.608,4580000000,437,6860000000,73.9,female,55-74 years,Silent
9.233224,6.697642,Albania,1993,Europe,135,0.29,3190000,0.608,4580000000,437,6860000000,73.9,female,5-14 years,Millenials
9.233224,6.697642,Albania,1993,Europe,135,0.27,3190000,0.608,4580000000,437,6860000000,73.9,male,5-14 years,Millenials
