country,year,suicides_no,hdi,gdp_per_capita ($)
Albania,1992,47,0.61,251
Albania,1993,73,0.613,437
Albania,1994,50,0.619,697
Albania,1995,86,0.632,835
Albania,1996,88,0.641,1127
Albania,1997,170,0.641,793
Albania,1998,154,0.652,899
Albania,1999,139,0.662,1127
Albania,2000,54,0.669,1299
Albania,2001,117,0.676,1451
Albania,2002,132,0.682,1573
Albania,2003,124,0.689,2021
Albania,2004,145,0.694,2544
Albania,2005,0,0.704,2931
Albania,2006,0,0.711,3235
Albania,2007,124,0.72,3863
Albania,2008,159,0.724,4672
Albania,2009,0,0.729,4387
Albania,2010,96,0.741,4359
Antigua and Barbuda,2005,0,0.766,12649
Antigua and Barbuda,2006,0,0.772,14114
Antigua and Barbuda,2007,1,0.778,15775
Antigua and Barbuda,2008,0,0.777,16238
Antigua and Barbuda,2009,0,0.77,14335
Antigua and Barbuda,2012,0,0.765,13657
Antigua and Barbuda,2013,0,0.768,13287
Antigua and Barbuda,2014,0,0.77,14093
Antigua and Barbuda,2015,1,0.775,14853
Argentina,1985,1977,0.694,3264
Argentina,1990,2126,0.704,4859
Argentina,1991,1942,0.713,6404
Argentina,1992,2171,0.72,7615
Argentina,1993,2214,0.725,7768
Argentina,1994,2230,0.728,8328
Argentina,1995,2189,0.731,8232
Argentina,1996,2220,0.738,8563
Argentina,1997,2173,0.746,9057
Argentina,1998,2331,0.753,9126
Argentina,1999,2403,0.764,8546
Argentina,2000,2756,0.771,8462
Argentina,2001,3108,0.776,7900
Argentina,2002,3139,0.769,2840
Argentina,2003,3264,0.775,3668
Argentina,2004,3096,0.78,4683
Argentina,2005,3037,0.782,5590
Argentina,2006,3082,0.787,6475
Argentina,2007,2912,0.792,7918
Argentina,2008,3039,0.795,9843
Argentina,2009,2856,0.799,8961
Argentina,2010,2923,0.813,11273
Argentina,2011,2884,0.819,13946
Argentina,2012,3231,0.818,14203
Argentina,2013,2954,0.82,14206
Argentina,2014,3197,0.82,13400
Argentina,2015,3054,0.822,14981
Armenia,1990,93,0.631,756
Armenia,1991,80,0.628,640
Armenia,1992,83,0.58,385
Armenia,1993,106,0.588,357
Armenia,1994,111,0.599,387
Armenia,1995,130,0.605,426
Armenia,1996,87,0.612,458
Armenia,1997,77,0.623,465
Armenia,1998,66,0.636,532
Armenia,1999,67,0.642,515
Armenia,2000,61,0.647,530
Armenia,2001,60,0.652,587
Armenia,2002,74,0.663,788
Armenia,2003,59,0.672,928
Armenia,2006,78,0.706,2310
Armenia,2007,71,0.72,3366
Armenia,2008,63,0.727,3829
Armenia,2009,53,0.724,3215
Armenia,2010,72,0.728,3460
Armenia,2011,67,0.731,3798
Armenia,2012,79,0.737,3773
Armenia,2013,67,0.742,3957
Armenia,2014,58,0.745,4142
Armenia,2015,74,0.748,3775
Armenia,2016,66,0.749,3788
Australia,1990,2202,0.866,19665
